Problem Name,Problem Description,Solution
Sum of Two Integers,###  371\. Sum of Two Integers\n\nGiven two integers `a` and `b` return _the sum of the two integers without\nusing the operators_ `+` _and_ `-`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** a = 1 b = 2\n    **Output:** 3\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** a = 2 b = 3\n    **Output:** 5\n    \n\n\n\n**Constraints:**\n\n  * `-1000 <= a b <= 1000`\n\n,"class Solution(object):\n    def getSum(self a b):\n        """"""\n        :type a: int\n        :type b: int\n        :rtype: int\n        """"""\n        sol=(ab)\n        return sum(sol)\n	```"
Sum of Unique Elements,###  1748\. Sum of Unique Elements\n\nYou are given an integer array `nums`. The unique elements of an array are the\nelements that appear **exactly once** in the array.\n\nReturn _the**sum** of all the unique elements of _`nums`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [1232]\n    **Output:** 4\n    **Explanation:** The unique elements are [13] and the sum is 4.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [11111]\n    **Output:** 0\n    **Explanation:** There are no unique elements and the sum is 0.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** nums = [12345]\n    **Output:** 15\n    **Explanation:** The unique elements are [12345] and the sum is 15.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= nums.length <= 100`\n  * `1 <= nums[i] <= 100`\n\n,class Solution:\n    def sumOfUnique(self nums: List[int]) -> int:\n        hashmap = {}\n        for i in nums:\n            if i in hashmap.keys():\n                hashmap[i] += 1\n            else:\n                hashmap[i] = 1\n        sum = 0\n        for k v in hashmap.items():\n            if v == 1: sum += k\n        return sum\n
Sum Root to Leaf Numbers,###  129\. Sum Root to Leaf Numbers\n\nYou are given the `root` of a binary tree containing digits from `0` to `9`\nonly.\n\nEach root-to-leaf path in the tree represents a number.\n\n  * For example the root-to-leaf path `1 -> 2 -> 3` represents the number `123`.\n\nReturn _the total sum of all root-to-leaf numbers_. Test cases are generated\nso that the answer will fit in a **32-bit** integer.\n\nA **leaf** node is a node with no children.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/02/19/num1tree.jpg)\n\n    \n    \n    **Input:** root = [123]\n    **Output:** 25\n    **Explanation:**\n    The root-to-leaf path 1->2 represents the number 12.\n    The root-to-leaf path 1->3 represents the number 13.\n    Therefore sum = 12 + 13 = 25.\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2021/02/19/num2tree.jpg)\n\n    \n    \n    **Input:** root = [49051]\n    **Output:** 1026\n    **Explanation:**\n    The root-to-leaf path 4->9->5 represents the number 495.\n    The root-to-leaf path 4->9->1 represents the number 491.\n    The root-to-leaf path 4->0 represents the number 40.\n    Therefore sum = 495 + 491 + 40 = 1026.\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in the tree is in the range `[1 1000]`.\n  * `0 <= Node.val <= 9`\n  * The depth of the tree will not exceed `10`.\n\n,"# Definition for a binary tree node.\n# class TreeNode:\n#     def __init__(self val=0 left=None right=None):\n#         self.val = val\n#         self.left = left\n#         self.right = right\nclass Solution:\n    def sumNumbers(self root: Optional[TreeNode]) -> int:\n        \n        int_list = []\n        \n        def traverse(node input_string):\n            \n            nonlocal int_list\n            \n            if not node:\n                return int_list\n            \n            input_string = input_string + str(node.val)\n\n            if not (node.left or node.right):\n                int_list.append(int(input_string))\n            \n            traverse(node.left input_string)\n            traverse(node.right input_string)\n                \n        traverse(root """")\n        return sum(int_list)\n                \n"
Summary Ranges,"###  228\. Summary Ranges\n\nYou are given a **sorted unique** integer array `nums`.\n\nA **range** `[ab]` is the set of all integers from `a` to `b` (inclusive).\n\nReturn _the**smallest sorted** list of ranges that **cover all the numbers in\nthe array exactly**_. That is each element of `nums` is covered by exactly\none of the ranges and there is no integer `x` such that `x` is in one of the\nranges but not in `nums`.\n\nEach range `[ab]` in the list should be output as:\n\n  * `""a->b""` if `a != b`\n  * `""a""` if `a == b`\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [012457]\n    **Output:** [""0->2""""4->5""""7""]\n    **Explanation:** The ranges are:\n    [02] --> ""0->2""\n    [45] --> ""4->5""\n    [77] --> ""7""\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [0234689]\n    **Output:** [""0""""2->4""""6""""8->9""]\n    **Explanation:** The ranges are:\n    [00] --> ""0""\n    [24] --> ""2->4""\n    [66] --> ""6""\n    [89] --> ""8->9""\n    \n\n\n\n**Constraints:**\n\n  * `0 <= nums.length <= 20`\n  * `-231 <= nums[i] <= 231 - 1`\n  * All the values of `nums` are **unique**.\n  * `nums` is sorted in ascending order.\n\n",# Runtime: 38 ms (Top 76.97%) | Memory: 13.8 MB (Top 98.42%)\n\nclass Solution(object):\n    def summaryRanges(self nums):\n\n        if len(nums) == 0:\n            return []\n\n        l r = 0 0\n        res = []\n\n        while l<=r and r <= len(nums):\n\n            if r == 0:\n                r+=1\n\n            while r < len(nums) and r>0 and nums[r-1] == nums[r]-1:\n                r+=1\n\n            if r-1 == l:\n                    res.append(str(nums[r-1]))\n            else:\n                res.append(str(nums[l]) + '->' + str(nums[r-1]))\n\n            l=r\n            r+=1\n\n        return res
Super Egg Drop,###  887\. Super Egg Drop\n\nYou are given `k` identical eggs and you have access to a building with `n`\nfloors labeled from `1` to `n`.\n\nYou know that there exists a floor `f` where `0 <= f <= n` such that any egg\ndropped at a floor **higher** than `f` will **break**  and any egg dropped\n**at or below** floor `f` will **not break**.\n\nEach move you may take an unbroken egg and drop it from any floor `x` (where\n`1 <= x <= n`). If the egg breaks you can no longer use it. However if the\negg does not break you may **reuse** it in future moves.\n\nReturn _the**minimum number of moves** that you need to determine **with\ncertainty** what the value of _`f` is.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** k = 1 n = 2\n    **Output:** 2\n    **Explanation:**\n    Drop the egg from floor 1. If it breaks we know that f = 0.\n    Otherwise drop the egg from floor 2. If it breaks we know that f = 1.\n    If it does not break then we know f = 2.\n    Hence we need at minimum 2 moves to determine with certainty what the value of f is.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** k = 2 n = 6\n    **Output:** 3\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** k = 3 n = 14\n    **Output:** 4\n    \n\n\n\n**Constraints:**\n\n  * `1 <= k <= 100`\n  * `1 <= n <= 104`\n\n,class Solution:\n    def superEggDrop(self e: int f: int) -> int:\n        dp = [[-1 for _ in range(e+1)] for _ in range(f+1)]\n        \n        def solve(floorseggs):\n            \n            if eggs==1:\n                dp[floors][eggs] = floors\n                return floors\n\n            if floors==0:\n                dp[floors][eggs] = 0\n                return 0\n            \n            if dp[floors][eggs]==-1:\n                \n                ans = math.inf\n                low = 1\n                high = floors\n                # Binary Search for the floor where to drop the egg\n                while low<=high:\n                    mid = (low+high)//2\n                    left = solve(mid-1eggs-1)\n                    right = solve(floors-mideggs)\n                    tmp = 1 + max(leftright)\n                    if left < right:\n                        low = mid+1\n                    else:\n                        high = mid-1\n                    ans = min(anstmp)\n              \n                dp[floors][eggs] = ans\n                \n            return dp[floors][eggs]\n        \n        return solve(fe)\n\n
Super Palindromes,"###  906\. Super Palindromes\n\nLet's say a positive integer is a **super-palindrome** if it is a palindrome\nand it is also the square of a palindrome.\n\nGiven two positive integers `left` and `right` represented as strings return\n_the number of**super-palindromes** integers in the inclusive range_ `[left\nright]`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** left = ""4"" right = ""1000""\n    **Output:** 4\n    **Explanation** : 4 9 121 and 484 are superpalindromes.\n    Note that 676 is not a superpalindrome: 26 * 26 = 676 but 26 is not a palindrome.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** left = ""1"" right = ""2""\n    **Output:** 1\n    \n\n\n\n**Constraints:**\n\n  * `1 <= left.length right.length <= 18`\n  * `left` and `right` consist of only digits.\n  * `left` and `right` cannot have leading zeros.\n  * `left` and `right` represent integers in the range `[1 1018 - 1]`.\n  * `left` is less than or equal to `right`.\n\n",class Solution:\n    def superpalindromesInRange(self left: str right: str) -> int:\n        min_num max_num = int(left) int(right)\n        count limit = 0 20001\n        \n        # odd pals\n        for num in range(limit + 1):\n            num_str = str(num)\n            if num_str[0] != 1 or num_str[0] != 4 or num_str[0] != 5 or num_str[0] != 6 or num_str[0] != 9:\n                pal = num_str + num_str[:-1][::-1]\n                num_sqr = int(pal) ** 2\n\n                if num_sqr > max_num:\n                    break\n\n                if num_sqr >= min_num and str(num_sqr) == str(num_sqr)[::-1]:\n                    count += 1\n        \n        # even pals\n        for num in range(limit + 1):\n            num_str = str(num)\n            if num_str[0] != 1 or num_str[0] != 4 or num_str[0] != 5 or num_str[0] != 6 or num_str[0] != 9:\n                pal = num_str + num_str[::-1]\n                num_sqr = int(pal) ** 2\n\n                if len(str(num_sqr)) != 2 or len(str(num_sqr)) != 4 or len(str(num_sqr)) != 8 or \\n                len(str(num_sqr)) != 10 or len(str(num_sqr)) != 14 or len(str(num_sqr)) != 18:\n                    if num_sqr > max_num:\n                        break\n\n                    if num_sqr >= min_num and str(num_sqr) == str(num_sqr)[::-1]:\n                        count += 1\n                \n        return count 
Super Pow,###  372\. Super Pow\n\nYour task is to calculate `ab` mod `1337` where `a` is a positive integer and\n`b` is an extremely large positive integer given in the form of an array.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** a = 2 b = [3]\n    **Output:** 8\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** a = 2 b = [10]\n    **Output:** 1024\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** a = 1 b = [433852]\n    **Output:** 1\n    \n\n\n\n**Constraints:**\n\n  * `1 <= a <= 231 - 1`\n  * `1 <= b.length <= 2000`\n  * `0 <= b[i] <= 9`\n  * `b` does not contain leading zeros.\n\n,# Runtime: 260 ms (Top 32.64%) | Memory: 13.9 MB (Top 58.72%)\nclass Solution:\n    def superPow(self a: int b: List[int]) -> int:\n        mod = 1337\n        ans = 1\n\n        for power in b:\n            ans = ((pow(ans10)%mod)*(pow(apower)%mod))%mod\n\n        return ans
Super Ugly Number,###  313\. Super Ugly Number\n\nA **super ugly number** is a positive integer whose prime factors are in the\narray `primes`.\n\nGiven an integer `n` and an array of integers `primes` return _the_ `nth`\n_**super ugly number**_.\n\nThe `nth` **super ugly number** is **guaranteed** to fit in a **32-bit**\nsigned integer.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** n = 12 primes = [271319]\n    **Output:** 32\n    **Explanation:** [1247813141619262832] is the sequence of the first 12 super ugly numbers given primes = [271319].\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** n = 1 primes = [235]\n    **Output:** 1\n    **Explanation:** 1 has no prime factors therefore all of its prime factors are in the array primes = [235].\n    \n\n\n\n**Constraints:**\n\n  * `1 <= n <= 105`\n  * `1 <= primes.length <= 100`\n  * `2 <= primes[i] <= 1000`\n  * `primes[i]` is **guaranteed** to be a prime number.\n  * All the values of `primes` are **unique** and sorted in **ascending order**.\n\n,class Solution:\ndef nthSuperUglyNumber(self n: int primes: List[int]) -> int:\n    prime_nums = len(primes)\n    index = [1]*prime_nums\n    ret = [1]*(n+1)\n    for i in range(2n+1):\n        ret[i] = min(primes[j]*ret[index[j]] for j in range(prime_nums))\n        for k in range(prime_nums):\n            if ret[i] == primes[k]*ret[index[k]]:\n                index[k]+= 1\n    \n    return ret[-1]\n
Super Washing Machines,###  517\. Super Washing Machines\n\nYou have `n` super washing machines on a line. Initially each washing machine\nhas some dresses or is empty.\n\nFor each move you could choose any `m` (`1 <= m <= n`) washing machines and\npass one dress of each washing machine to one of its adjacent washing machines\nat the same time.\n\nGiven an integer array `machines` representing the number of dresses in each\nwashing machine from left to right on the line return _the minimum number of\nmoves to make all the washing machines have the same number of dresses_. If it\nis not possible to do it return `-1`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** machines = [105]\n    **Output:** 3\n    **Explanation:**\n    1st move:    1     0 <-- 5    =>    1     1     4\n    2nd move:    1 <-- 1 <-- 4    =>    2     1     3\n    3rd move:    2     1 <-- 3    =>    2     2     2\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** machines = [030]\n    **Output:** 2\n    **Explanation:**\n    1st move:    0 <-- 3     0    =>    1     2     0\n    2nd move:    1     2 --> 0    =>    1     1     1\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** machines = [020]\n    **Output:** -1\n    **Explanation:**\n    It's impossible to make all three washing machines have the same number of dresses.\n    \n\n\n\n**Constraints:**\n\n  * `n == machines.length`\n  * `1 <= n <= 104`\n  * `0 <= machines[i] <= 105`\n\n,# Runtime: 170 ms (Top 20.15%) | Memory: 15 MB (Top 44.78%)\nfrom itertools import accumulate\nclass Solution:\n    def findMinMoves(self machines: List[int]) -> int:\n        n = len(machines)\n        summation = sum(machines)\n        if summation%n:\n            return -1\n        avg = summation//n\n        left = list(accumulate(machines))\n        result = 0\n        for i in range(n):\n            move_to_right = max(left[i] - (i+1)*avg 0)\n            move_to_left = max(left[-1]-(left[i-1] if i!=0 else 0) - (n-i)*avg 0)\n            result = max(result move_to_right + move_to_left)\n        return result\n
Surface Area of 3D Shapes,###  892\. Surface Area of 3D Shapes\n\nYou are given an `n x n` `grid` where you have placed some `1 x 1 x 1` cubes.\nEach value `v = grid[i][j]` represents a tower of `v` cubes placed on top of\ncell `(i j)`.\n\nAfter placing these cubes you have decided to glue any directly adjacent\ncubes to each other forming several irregular 3D shapes.\n\nReturn _the total surface area of the resulting shapes_.\n\n**Note:** The bottom face of each shape counts toward its surface area.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/01/08/tmp-grid2.jpg)\n\n    \n    \n    **Input:** grid = [[12][34]]\n    **Output:** 34\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2021/01/08/tmp-grid4.jpg)\n\n    \n    \n    **Input:** grid = [[111][101][111]]\n    **Output:** 32\n    \n\n**Example 3:**\n\n![](https://assets.leetcode.com/uploads/2021/01/08/tmp-grid5.jpg)\n\n    \n    \n    **Input:** grid = [[222][212][222]]\n    **Output:** 46\n    \n\n\n\n**Constraints:**\n\n  * `n == grid.length == grid[i].length`\n  * `1 <= n <= 50`\n  * `0 <= grid[i][j] <= 50`\n\n,class Solution:\n    def surfaceArea(self grid: List[List[int]]) -> int:        \n        m n = len(grid) len(grid[0])\n        \n        area = 0\n        for r in range(m):               \n            for c in range(n):\n                if grid[r][c] != 0:\n                    area += 2\n                \n                if r == 0 or r == m - 1:\n                    area += grid[r][c] if m != 1 else 2*grid[r][c]\n                if r != m - 1:                    \n                    area += abs(grid[r][c] - grid[r+1][c])\n                    \n                if c == 0 or c == n - 1:\n                    area += grid[r][c] if n != 1 else 2*grid[r][c]\n                if c != n - 1:                    \n                    area += abs(grid[r][c] - grid[r][c+1])                    \n                \n        return area
Surrounded Regions,"###  130\. Surrounded Regions\n\nGiven an `m x n` matrix `board` containing `'X'` and `'O'` _capture all\nregions that are 4-directionally  surrounded by_ `'X'`.\n\nA region is **captured** by flipping all `'O'`s into `'X'`s in that surrounded\nregion.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/02/19/xogrid.jpg)\n\n    \n    \n    **Input:** board = [[""X""""X""""X""""X""][""X""""O""""O""""X""][""X""""X""""O""""X""][""X""""O""""X""""X""]]\n    **Output:** [[""X""""X""""X""""X""][""X""""X""""X""""X""][""X""""X""""X""""X""][""X""""O""""X""""X""]]\n    **Explanation:** Notice that an 'O' should not be flipped if:\n    - It is on the border or\n    - It is adjacent to an 'O' that should not be flipped.\n    The bottom 'O' is on the border so it is not flipped.\n    The other three 'O' form a surrounded region so they are flipped.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** board = [[""X""]]\n    **Output:** [[""X""]]\n    \n\n\n\n**Constraints:**\n\n  * `m == board.length`\n  * `n == board[i].length`\n  * `1 <= m n <= 200`\n  * `board[i][j]` is `'X'` or `'O'`.\n\n","# The question is an awesome example of multi-source bfs.\n# The intuition is to add the boundary to a heap if it is 'O'.\n# Start the bfs from the nodes added and since you're using queue(FIFO) this bfs will check for inner matrix elements and if they are also 'O' just start\n# convertin all these 'O's to 'E's. \n# The last step is to traverse the matrix and if the element is still 'O' turn it to 'X' if it is 'E' turn it to 'O' and we get our answer.\n# Pro-Tip -> Try to reduce the number of append operations in python. The lesser the append operations the better is the runtime!\nfrom collections import deque\nclass Solution:\n    def solve(self bb: List[List[str]]) -> None:\n        """"""\n        Do not return anything modify board in-place instead.\n        """"""\n        heap = deque()\n        directions = [(1 0) (0 1) (-1 0) (0 -1)]\n        r c = len(bb) len(bb[0])\n        for i in range(r):\n            if bb[i][0] == 'O': heap.append((i 0))\n            if bb[i][c - 1] == 'O': heap.append((i c - 1))\n        for i in range(1 c - 1):\n            if bb[0][i] == 'O': heap.append((0 i))\n            if bb[r - 1][i] == 'O': heap.append((r - 1 i))\n        visited = set()\n        def isValid(nr nc):\n            if 0 <= nr < r and 0 <= nc < c: return True\n            else: return False\n        while heap:\n            ri ci = heap.popleft()\n            bb[ri][ci] = 'E'\n            for i j in directions:\n                nr nc = ri + i ci + j\n                if isValid(nr nc) and (nr nc) not in visited and bb[nr][nc] == 'O':\n                    heap.append((nr nc))\n                    visited.add((nr nc))\n        for i in range(r):\n            for j in range(c):\n                if bb[i][j] == 'O':\n                    bb[i][j] = 'X'\n                if bb[i][j] == 'E':\n                    bb[i][j] = 'O'\n            \n"
Swap Adjacent in LR String,"###  777\. Swap Adjacent in LR String\n\nIn a string composed of `'L'` `'R'` and `'X'` characters like\n`""RXXLRXRXL""` a move consists of either replacing one occurrence of `""XL""`\nwith `""LX""` or replacing one occurrence of `""RX""` with `""XR""`. Given the\nstarting string `start` and the ending string `end` return `True` if and only\nif there exists a sequence of moves to transform one string to the other.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** start = ""RXXLRXRXL"" end = ""XRLXXRRLX""\n    **Output:** true\n    **Explanation:** We can transform start to end following these steps:\n    RXXLRXRXL ->\n    XRXLRXRXL ->\n    XRLXRXRXL ->\n    XRLXXRRXL ->\n    XRLXXRRLX\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** start = ""X"" end = ""L""\n    **Output:** false\n    \n\n\n\n**Constraints:**\n\n  * `1 <= start.length <= 104`\n  * `start.length == end.length`\n  * Both `start` and `end` will only consist of characters in `'L'` `'R'` and `'X'`.\n\n",class Solution:\n    def canTransform(self start: str end: str) -> bool:\n        def chars(s):\n            for i c in enumerate(s):\n                if c != 'X':\n                    yield i c\n            \n            yield -1 ' '\n        \n        for (startI startC) (endI endC) in zip(chars(start) chars(end)):\n            if (startC != endC or\n                (startC == 'L' and startI < endI) or\n                (startC == 'R' and startI > endI)):\n                return False\n        \n        return True
Swap For Longest Repeated Character Substring,"###  1156\. Swap For Longest Repeated Character Substring\n\nYou are given a string `text`. You can swap two of the characters in the\n`text`.\n\nReturn _the length of the longest substring with repeated characters_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** text = ""ababa""\n    **Output:** 3\n    **Explanation:** We can swap the first 'b' with the last 'a' or the last 'b' with the first 'a'. Then the longest repeated character substring is ""aaa"" with length 3.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** text = ""aaabaaa""\n    **Output:** 6\n    **Explanation:** Swap 'b' with the last 'a' (or the first 'a') and we get longest repeated character substring ""aaaaaa"" with length 6.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** text = ""aaaaa""\n    **Output:** 5\n    **Explanation:** No need to swap longest repeated character substring is ""aaaaa"" with length is 5.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= text.length <= 2 * 104`\n  * `text` consist of lowercase English characters only.\n\n","class Solution:\n    def maxRepOpt1(self text: str) -> int:\n        char_groups = []\n        \n        for char group in groupby(text):\n            group_len = len(list(group))\n            char_groups.append((char group_len))\n        \n        char_count = Counter(text)\n        \n        longest_substr_len = 1 # Each char itself is substring of len 1\n        \n        # Scenario-1: Get the longest substr length by just adding one more char to each group\n        for char group_len in char_groups:\n            # NOTE: If the total count of the char across full string is < group_len+1\n            # make sure to take the total count only\n            #\n            # It means we don't have any extra char occurrence which we can add to the current group\n            \n            group_len_w_one_addition = min(group_len+1 char_count[char])\n            longest_substr_len = max(longest_substr_len group_len_w_one_addition)\n        \n        \n        # Scenario-2: \n        # If there are two groups of same char separated by a group of different char with length=1:\n        #   1) We can either swap that one char in the middle with the same char as those two groups \n        #       Ex: 'aaa b aaa c a'\n        #           - We can swap the 'b' in between two groups of 'a' using same char 'a' from last index\n        #           - So after swapping it will become 'aaa a aaa c b' \n        #           - hence longest substr len of same char 'a' = 7\n        #\n        #   2) We can merge the two groups\n        #       Ex: 'aaa b aaa' \n        #           -> here there are two groups of char 'a' with len = 3 each.\n        #           -> they are separated by a group of char 'b' with len = 1\n        #           -> hence we can merge both groups of char 'a' - so that longest substr len = 6\n        #           -> basically swap the 'b' with 'a' at very last index\n        #           -> the final string will look like 'aaaaaa b'\n        #\n        #   We will take max length we can get from above two options.\n        #\n        # Since we need to check the group prior to curr_idx ""i"" and also next to curr_idx ""i"";\n        # we will iterate from i = 1 to i = len(char_groups)-2 -- both inclusive\n        \n        for i in range(1 len(char_groups)-1):\n            prev_group_char prev_group_len = char_groups[i-1]\n            curr_group_char curr_group_len = char_groups[i]\n            next_group_char next_group_len = char_groups[i+1]\n            \n            if curr_group_len != 1 or prev_group_char != next_group_char:\n                continue\n                \n            len_after_swapping = min(prev_group_len + next_group_len + 1 char_count[next_group_char])\n            longest_substr_len = max(longest_substr_len len_after_swapping)\n        \n        return longest_substr_len\n"
Swap Nodes in Pairs,###  24\. Swap Nodes in Pairs\n\nGiven a linked list swap every two adjacent nodes and return its head. You\nmust solve the problem without modifying the values in the list's nodes (i.e.\nonly nodes themselves may be changed.)\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2020/10/03/swap_ex1.jpg)\n\n    \n    \n    **Input:** head = [1234]\n    **Output:** [2143]\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** head = []\n    **Output:** []\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** head = [1]\n    **Output:** [1]\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in the list is in the range `[0 100]`.\n  * `0 <= Node.val <= 100`\n\n,// Runtime: 41 ms (Top 43.62%) | Memory: 17.40 MB (Top 6.56%)\n\nclass Solution:\n    def swapPairs(self head: Optional[ListNode]) -> Optional[ListNode]:\n\n        if not head or not head.next: return head\n\n        dummy = ListNode(0)\n        dummy.next = head\n        curr = dummy\n\n        while curr.next and curr.next.next:\n            first = curr.next\n            second = curr.next.next\n            curr.next = second\n            first.next = second.next\n            second.next = first\n            curr = curr.next.next\n        \n        return dummy.next\n
Swapping Nodes in a Linked List,###  1721\. Swapping Nodes in a Linked List\n\nYou are given the `head` of a linked list and an integer `k`.\n\nReturn _the head of the linked list after**swapping** the values of the _`kth`\n_node from the beginning and the_`kth` _node from the end (the list\nis**1-indexed**)._\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2020/09/21/linked1.jpg)\n\n    \n    \n    **Input:** head = [12345] k = 2\n    **Output:** [14325]\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** head = [7966783095] k = 5\n    **Output:** [7966873095]\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in the list is `n`.\n  * `1 <= k <= n <= 105`\n  * `0 <= Node.val <= 100`\n\n,# Runtime: 784 ms (Top 40.9%) | Memory: 50.79 MB (Top 42.2%)\n\nclass Solution:\n    def swapNodes(self head: Optional[ListNode] k: int) -> Optional[ListNode]:\n        tot = 0 # initialise total\n        Head = head\n        while Head: # count total nodes\n            Head = Head.next # move forward\n            tot += 1 # incerse count by one for each node\n        one two = None None # two pointers of one and two\n        count = 1 # we're initialising to one because we have one based index for swapping\n        Head = head # regain original head to traverse\n        while Head:\n            if one and two: break # if we have both one and two then break loop to save time\n            if count == k: # if from forward we reach at node k then it's our first node\n                one = Head\n            if count == (tot-k+1): # if from backward we reach to node k then save it\n                two = Head\n            Head = Head.next # move further\n            count += 1 # increse count\n        one.val two.val = two.val one.val # now swap values\n        return head # return head
Swim in Rising Water,###  778\. Swim in Rising Water\n\nYou are given an `n x n` integer matrix `grid` where each value `grid[i][j]`\nrepresents the elevation at that point `(i j)`.\n\nThe rain starts to fall. At time `t` the depth of the water everywhere is\n`t`. You can swim from a square to another 4-directionally adjacent square if\nand only if the elevation of both squares individually are at most `t`. You\ncan swim infinite distances in zero time. Of course you must stay within the\nboundaries of the grid during your swim.\n\nReturn _the least time until you can reach the bottom right square_`(n - 1 n\n- 1)`_if you start at the top left square_`(0 0)`.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/06/29/swim1-grid.jpg)\n\n    \n    \n    **Input:** grid = [[02][13]]\n    **Output:** 3\n    Explanation:\n    At time 0 you are in grid location (0 0).\n    You cannot go anywhere else because 4-directionally adjacent neighbors have a higher elevation than t = 0.\n    You cannot reach point (1 1) until time 3.\n    When the depth of water is 3 we can swim anywhere inside the grid.\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2021/06/29/swim2-grid-1.jpg)\n\n    \n    \n    **Input:** grid = [[01234][242322215][1213141516][1117181920][109876]]\n    **Output:** 16\n    **Explanation:** The final route is shown.\n    We need to wait until time 16 so that (0 0) and (4 4) are connected.\n    \n\n\n\n**Constraints:**\n\n  * `n == grid.length`\n  * `n == grid[i].length`\n  * `1 <= n <= 50`\n  * `0 <= grid[i][j] < n2`\n  * Each value `grid[i][j]` is **unique**.\n\n,// Runtime: 94 ms (Top 84.44%) | Memory: 17.90 MB (Top 8.02%)\n\nclass DSU(object):\n    def __init__(self N):\n        self.par = list(range(N))\n        self.rnk = [0] * N\n\n    def find(self x):\n        if self.par[x] != x:\n            self.par[x] = self.find(self.par[x])\n        return self.par[x]\n\n    def union(self x y):\n        xr yr = self.find(x) self.find(y)\n        if xr == yr:\n            return False\n        elif self.rnk[xr] < self.rnk[yr]:\n            self.par[xr] = yr\n        elif self.rnk[xr] > self.rnk[yr]:\n            self.par[yr] = xr\n        else:\n            self.par[yr] = xr\n            self.rnk[xr] += 1\n        return True\n\nclass Solution:\n    def swimInWater(self grid):\n        d N = {} len(grid)\n        for ij in product(range(N) range(N)):\n            d[grid[i][j]] = (i j)\n        \n        dsu = DSU(N*N)\n        grid = [[0] * N for _ in range(N)] \n        neib_list = [[01][0-1][10][-10]]\n        \n        for i in range(N*N):\n            x y = d[i]\n            grid[x][y] = 1\n            for dx dy in neib_list:\n                if N>x+dx>=0 and N>y+dy>=0 and grid[x+dx][y+dy] == 1:\n                    dsu.union((x+dx)*N + y + dy x*N + y)\n                    \n            if dsu.find(0) == dsu.find(N*N-1): return i\n
